repeat,seed,model,split,r2_log,rmse_log,mae_log,r2_linear,rmse_linear,mae_linear
0,2026,ElasticNetCV,cv_train,0.1580948033423215,0.8412841744312199,0.7009037872361483,0.01670483712520887,0.10304495251481288,0.05717643742819824
0,2026,ElasticNetCV,test,0.4394448294602814,0.6671595954386328,0.5501382954938171,-0.1803563709970728,0.1296979776802807,0.07564439558828095
0,2026,RandomForest,cv_train,0.24324179673060164,0.7976083520631274,0.6697019063738274,-0.02812637824492148,0.10536782682844373,0.056461398806741996
0,2026,RandomForest,test,0.7154992264728708,0.475293944300597,0.39435838984200927,0.07662020322978991,0.11471410317639363,0.0658788934995513
1,2027,ElasticNetCV,cv_train,0.053654179851480355,0.8650141065845511,0.7122561087968982,-0.061160011028916994,0.10513866337937061,0.05909701866473179
1,2027,ElasticNetCV,test,0.5638855485726322,0.6753535798771149,0.5751727952095601,-0.1966789168730183,0.13826349610834995,0.07797317016008691
1,2027,RandomForest,cv_train,0.07129970901503513,0.8569116488092376,0.7025732630840386,-0.0883390627803009,0.10647658713590855,0.058995193287217904
1,2027,RandomForest,test,0.7554046918705546,0.5057722859907232,0.40432995754183243,0.13351989131367026,0.11765164747986252,0.06555488340253621
2,2028,ElasticNetCV,cv_train,0.05699410955765716,0.894344128477019,0.7486452161721117,-0.04057228217409925,0.10900550467728015,0.06074527999524498
2,2028,ElasticNetCV,test,0.4670199077613094,0.6476804027654356,0.5343974554951157,-0.18143387731459315,0.11994260956863376,0.07082897114001939
2,2028,RandomForest,cv_train,0.05945856576815978,0.8931747222824344,0.7377010939069873,-0.08185297944773806,0.1111466624316569,0.06096200512797286
2,2028,RandomForest,test,0.6709974465326928,0.5088677138452895,0.4162824170252505,0.02224188504298008,0.109115010306421,0.06344751946501667
3,2029,ElasticNetCV,cv_train,0.13065696224180678,0.8505210174841583,0.7042049220948339,-0.04357902875610198,0.11100786486567328,0.062101791532737066
3,2029,ElasticNetCV,test,0.5209146851921698,0.649088580044158,0.5322837892928667,-0.12145089447400492,0.11005962536087105,0.05817109004050491
3,2029,RandomForest,cv_train,0.31311825201883636,0.7560150621034747,0.6303752847287131,-0.09873306155036721,0.1139035275830891,0.06072481142570445
3,2029,RandomForest,test,0.7202337340482958,0.4960154589680681,0.42122427734360995,0.044978056365817864,0.10156511733576798,0.05735376177658164
4,2030,ElasticNetCV,cv_train,-0.10653983174128623,0.954951236912317,0.7867118175773539,-0.15609877201785083,0.11300354098225363,0.06331967996899446
4,2030,ElasticNetCV,test,0.5941354173473197,0.6069892870901504,0.520097402774563,0.017629191070461347,0.11585291903998546,0.06594239845424991
4,2030,RandomForest,cv_train,0.017015899604636342,0.9000588703394391,0.740516454220034,-0.11715441263686577,0.11108391694628518,0.061557598233820676
4,2030,RandomForest,test,0.7562751384823373,0.47037081243777246,0.38031848440503724,0.20050522098686097,0.10451462636151476,0.06082536219085376
5,2031,ElasticNetCV,cv_train,0.05915712876060597,0.8640246047136997,0.7225203650535594,-0.05469844581788941,0.10863200630530834,0.06034566798091054
5,2031,ElasticNetCV,test,0.3883481463779238,0.7945364148042625,0.5733703382026564,-0.9879921877735056,0.1610167743610145,0.0856960835183124
5,2031,RandomForest,cv_train,0.03696961596589676,0.8741532075147487,0.7249136555791944,-0.08427273553570491,0.11014452546509572,0.06088418747003826
5,2031,RandomForest,test,0.5910051361006925,0.6497115470737351,0.4864549829588619,0.09885531128059188,0.1084079293310865,0.06794303648413089
6,2032,ElasticNetCV,cv_train,0.1846467445069141,0.8249833647193271,0.6854301371363019,-0.0011778314780930277,0.10585377122147901,0.058337356286466614
6,2032,ElasticNetCV,test,0.10118261864390321,0.8773362370088407,0.6249912817834641,-0.17257856145194173,0.12375107774175778,0.07425429470501722
6,2032,RandomForest,cv_train,0.171490094463717,0.831612749968834,0.6896436244583902,-0.07133361327562104,0.10949974009694219,0.059067837371310175
6,2032,RandomForest,test,0.6456720431267141,0.5508496102384098,0.4717832118629426,0.09712856418716054,0.10859028470880513,0.07116285310371744
7,2033,ElasticNetCV,cv_train,0.205282389533181,0.8116053687501156,0.6689980052670675,0.0653669749054756,0.10302760291046913,0.058029826762951715
7,2033,ElasticNetCV,test,0.4509861213510713,0.6957995323239872,0.5849965201424729,-0.16356681219327585,0.12038255225783047,0.07045466280411644
7,2033,RandomForest,cv_train,0.25088574994834867,0.7879751509139897,0.6570033504958648,-0.07327360081462997,0.11040487686227209,0.05890043943760007
7,2033,RandomForest,test,0.6607275256924128,0.5469741271854629,0.4416762190865373,0.0421411618216756,0.1092241413575537,0.06672138642050905
8,2034,ElasticNetCV,cv_train,0.2155966371221082,0.8085305046549496,0.6722044402646816,0.042955509053091645,0.09840772879910563,0.0551423815281694
8,2034,ElasticNetCV,test,0.38020397595179367,0.7192090533096898,0.5830299286408337,-0.6522529938634174,0.16635018432619994,0.09174624302642806
8,2034,RandomForest,cv_train,0.35560880654840443,0.7328270383234918,0.6162336820679101,0.04104541938516704,0.09850588196432036,0.05368882712368788
8,2034,RandomForest,test,0.6223219417755159,0.5614248477822216,0.4670810758694831,0.05742110289058544,0.12564461180453945,0.07779700569684696
9,2035,ElasticNetCV,cv_train,0.108154815051275,0.8664841152675808,0.7180094021691569,-0.02578294221916022,0.10726425723727076,0.05957625575875868
9,2035,ElasticNetCV,test,0.40808704100630533,0.6984867316776773,0.5689226130414683,-0.424733030995901,0.13603202672812367,0.07889106512930001
9,2035,RandomForest,cv_train,0.32296992249287326,0.754952888287262,0.6326863522243497,-0.08360110941954235,0.1102457899911256,0.058110938902030757
9,2035,RandomForest,test,0.6092393789594021,0.5675245228209732,0.4494654387423814,0.04831168756173432,0.11117875079248365,0.06933281060111661
